Location,Experiment,Date,IR.mday,Surface.NO3,Surface.NO2,Surface.NH4,Surface.DOC,Depth.NO3,Depth.NO2,Depth.NH4,Depth.DOC,Depth.cm,C,N,Pct.Clay,Pct.Silt,Pct.Sand,d.10,d.50,d.90,N.Rmv,Frac.Rmv,Load.Red,Load.Red.Norm,RT.Days,NO3.Rmv,NO3.Frac.Rmv,NO3.Load.Red
HSP,MAR-3DS,2/27/08,0.250,0.963,,,13.440,0.078,,,25.370,50.000,0.337,0.026,4.949,3.805,91.246,86.095,266.873,467.050,0.880,0.919,0.221,0.230,2.000,0.885,0.919,0.221
HSP,MAR-3DS,3/5/08,0.250,0.576,,,,0.131,,,,50.000,0.337,0.026,4.949,3.805,91.246,86.095,266.873,467.050,0.440,0.772,0.111,0.193,2.000,0.445,0.772,0.111
HSP,MAR-3DS,3/12/08,0.220,0.239,,,16.670,0.007,,,11.920,50.000,0.337,0.026,4.949,3.805,91.246,86.095,266.873,467.050,0.230,0.969,0.051,0.213,2.273,0.231,0.969,0.051
HSP,MAR-3DS,3/19/08,0.200,0.281,,,21.630,0.005,,,12.710,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,0.280,0.981,0.055,0.196,2.500,0.276,0.981,0.055
HSP,MAR-4DS,1/16/08,0.260,3.620,,,30.510,2.320,,,,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,1.300,0.359,0.338,0.093,1.923,1.300,0.359,0.338
HSP,MAR-4DS,1/23/08,0.220,5.400,,,14.010,1.750,,,5.310,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,3.650,0.676,0.803,0.149,2.273,3.650,0.676,0.803
HSP,MAR-4DS,1/31/08,0.350,3.640,,,15.180,2.300,,,11.250,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,1.340,0.368,0.469,0.129,1.429,1.340,0.368,0.469
HSP,MAR-4DS,2/5/08,0.300,2.220,,,3.440,0.838,,,18.880,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,1.380,0.622,0.414,0.187,1.667,1.382,0.622,0.414
HSP,MAR-4DS,2/14/08,0.400,0.338,,,15.690,0.005,,,20.070,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,0.330,0.985,0.133,0.394,1.250,0.333,0.985,0.133
HSP,MAR-4DS,2/21/08,0.400,0.262,,,15.100,0.078,,,10.430,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,0.180,0.703,0.074,0.281,1.250,0.184,0.703,0.074
HSP,MAR-4DS,2/27/08,0.350,0.963,,,13.440,0.036,,,11.230,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,0.930,0.963,0.324,0.337,1.429,0.927,0.963,0.324
HSP,MAR-4DS,3/5/08,0.350,0.576,,,,0.007,,,,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,0.570,0.988,0.199,0.346,1.429,0.569,0.988,0.199
HSP,MAR-4DS,3/12/08,0.240,0.239,,,16.670,0.020,,,12.940,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,0.220,0.918,0.053,0.220,2.083,0.219,0.918,0.053
HSP,MAR-4DS,3/19/08,0.360,0.281,,,21.630,0.044,,,15.210,50.000,0.340,0.030,5.230,3.898,90.872,79.289,257.683,454.890,0.240,0.844,0.085,0.304,1.389,0.237,0.844,0.085
